X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
17.5,20,5,5,5,18.31696364,21.15356386,0.784175817,5,5,5,18.35032785,21.13463685,0.776115543
17.5,25,5,5,5,18.65512395,25.53405965,0.571081944,5,5,5,18.68524886,25.56409638,0.607818925
17.5,30,5,5,5,18.27388102,29.72015608,0.701728123,5,5,5,18.29042755,29.78154054,0.647112628
17.5,35,5,5,5,17.38084642,34.15461865,1.438108687,5,5,5,17.37958761,34.20707733,1.393577593
17.5,40,5,5,5,16.31473143,38.31118888,2.747783789,5,5,5,16.37037031,38.50771131,2.56366444
17.5,45,5,5,5,15.58753898,40.93114278,5.126709011,5,5,5,15.68615253,41.1887583,4.853989726
17.5,50,5,5,5,13.96153709,45.45428396,6.448796975,5,5,5,14.10848246,45.75688645,6.122966254
22.5,0,5,5,5,26.64046586,-6.036688149,7.346145441,5,5,5,25.00061625,-3.470052385,4.311571362
22.5,5,5,5,5,20.12471126,10.83828918,6.198978323,5,5,5,20.10814285,10.8736543,6.237956443
22.5,10,5,5,5,21.05938219,13.66450594,3.849820781,5,5,5,21.08142507,13.63872621,3.816279889
22.5,15,5,5,5,22.72068324,17.32348634,1.960530772,5,5,5,22.6741209,17.38808142,2.033184877
22.5,20,5,5,5,23.64546048,21.24235619,1.003539283,5,5,5,23.64859267,21.25102092,1.012516923
22.5,25,5,5,5,23.9218152,25.6718209,0.865602,5,5,5,23.94463255,25.68150384,0.890308124
22.5,30,5,5,5,23.81008192,29.82604913,0.913036654,5,5,5,23.83838587,29.87405032,0.906552127
22.5,35,5,5,5,22.9496138,33.89139662,1.516080531,5,5,5,23.03973533,34.01751603,1.383796865
22.5,40,5,5,5,21.50929615,37.79688869,3.050660131,5,5,5,21.52308878,37.80380792,3.037575072
